cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
188,0,0,0,2116,6016.36025104,87.52295577159686,1795.8898600189036,966.6388533081285,32.26844440235705
189,0,0,0,1935,5501.7283013999995,83.69598579221763,894.2044956072352,1000.7313788113695,499.364182440959
190,0,0,0,4895,13917.8088038,133.11913665984073,2094.8012241062306,1028.79350700715,828.2950839540463
191,0,0,0,4066,11560.73760904,121.32431038393239,995.0064652238071,1013.3506292179045,1675.1932777760169
192,0,0,0,1378,3918.02666632,70.62992629817408,637.7886306240929,1043.7675892597968,16.415136996256752
193,0,0,0,2961,8418.92377284,103.53408458904168,678.9372399189463,1053.1449397500844,274.12983578824617
194,0,0,0,7247,20605.18087868,161.97324199125052,234.84412639712986,1056.1117104457016,1208.3175906841655
195,0,0,0,2157,6132.9343390799995,88.36681801321616,125.64965155308299,1033.1418537783957,69.14182737618935
197,0,0,0,1929,5484.66867876,83.5661238275869,376.1554680145153,1009.392187350959,38.27035176446591
198,0,0,0,2218,6306.37383592,89.60761436271207,161.7672467087466,1031.1006567177637,93.59260286157767
199,0,0,0,2467,7014.34817548,94.50367970381933,2363.1727326307255,1103.8923261451155,18.084849235691426
200,0,0,0,2826,8035.08226344,101.14635180278093,2259.9656487615002,1025.7364629157819,26.88424955511179
201,0,0,0,9056,25748.65710464,181.0641003883808,1808.7010521422262,1078.560811594523,360.487579003905
202,0,0,0,2182,6204.01610008,88.8774360273488,1613.1524559120073,1046.4710209899174,54.81687013402718
203,0,0,0,4295,12211.846539799999,124.69404929149836,1385.9472583003492,1111.0837026309662,259.4350322612996
204,0,0,0,8932,25396.09157008,179.82021040122592,2382.010845320197,1147.453814106583,729.5974961038158
205,0,0,0,2697,7668.30037668,98.81084596589851,482.1287825732295,1054.967247460141,23.93488501004082
206,0,0,0,1915,5444.8628926,83.26232491661163,1076.1909544647517,1047.725433002611,61.97719092774509
207,0,0,0,7855,22333.8893062,168.63093148171723,1557.5913471419476,1114.059567383832,2852.8683286217693
208,0,0,0,1513,4301.86817572,74.00884188773945,2489.3628043621943,1093.6572836748182,64.55323482014653
209,0,0,0,2346,6670.31245224,92.15696170084681,2379.1944184995737,1092.6863502131287,11.540105630450407
210,0,0,0,5419,15407.68251436,140.06309531781616,922.103090791659,1134.4672074921573,707.2607821795062
211,0,0,0,1876,5333.97534544,82.41012280330983,1820.4470466950959,1134.3568945628997,14.719862555180235
212,0,0,0,3116,8859.63069104,106.20937881176711,2487.723481322208,1089.3106336970475,40.59492437063415
213,0,0,0,2858,8126.06691752,101.71740137533318,1729.1668303708889,1119.78016829951,23.268840341599415
214,0,0,0,11301,32131.79924244,202.265858312682,85.4253300592868,1361.1388074152728,4218.188154683343
215,0,0,0,4095,11643.1924518,121.75620335980305,1103.203453040293,1130.6265415873015,168.2798459659998
216,0,0,0,1829,5200.34163476,81.37125177548354,1833.138178458174,1149.7735915800984,15.464146230421065
217,0,0,0,2625,7463.584905,97.48298029161005,628.7361240380952,1160.9824239999998,69.7288126984127
218,0,0,0,1831,5206.02817564,81.41572909598183,1892.8824424904421,1124.1216683779355,114.37630217615727
219,0,0,0,4103,11665.93861532,121.87507690860502,287.8729298562028,1183.2845827443334,1077.4808850030315
220,0,0,0,4971,14133.89735724,134.1485633037707,2122.247724401529,1245.0251557030779,1480.27808369614
221,0,0,0,3105,8828.3547162,106.02174465464627,46.97899826086957,1129.9190901127213,49.9261246599817
222,0,0,0,4011,11404.35773484,120.50095124232261,587.2688615806532,1163.4107369733233,52.53122213588523
223,0,0,0,3352,9530.642514879999,110.15802710960013,809.8413147374702,1117.9928556085918,512.5124136874077
